p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
8.9942986834441e-10;1.1051534443575;0.902;0.58;6.83296870981248e-06;Tg 3;TGME49-244690
9.07811301130234e-10;1.18583046057238;0.721;0.345;6.89664245468639e-06;Tg 3;TGME49-276970
9.5301432712844e-10;1.50879767163598;0.607;0.235;7.24004984319476e-06;Tg 3;TGME49-281900
1.08299819937797e-09;1.9275645773838;0.492;0.171;8.22753732067445e-06;Tg 3;TGME49-222270
1.28201941482476e-09;1.03611632975726;0.574;0.189;9.73950149442366e-06;Tg 3;TGME49-226720
1.43468567891737e-09;1.3617203055191;0.59;0.221;1.08993071027353e-05;Tg 3;TGME49-246100
1.45313787545066e-09;1.17836900947188;0.82;0.427;1.10394884397987e-05;Tg 3;TGME49-265450
1.56013862995069e-09;1.00914511742906;0.967;0.751;1.18523731717354e-05;Tg 3;TGME49-297880
1.75409503161368e-09;1.59572288474396;0.492;0.157;1.33258599551691e-05;Tg 3;TGME49-222040
1.98235939082338e-09;1.12984241189398;0.852;0.552;1.50599842920852e-05;Tg 3;TGME49-236570
2.2932830722415e-09;1.34953984912149;0.541;0.178;1.74220714998187e-05;Tg 3;TGME49-237090
